ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1 In,97.550003051757813,English 1 In,75.64000129699707,World Affairs,26.690000534057617,Biology 1 In,74.269996643066406,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1 In,97.550003051757813,English 1 In,75.64000129699707,World Affairs In,68.730003356933594,Biology 1,64.839996337890625,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1 In,97.550003051757813,English 1 In,75.64000129699707,World Affairs In,68.730003356933594,Biology 1 In,74.269996643066406,,,,
2240046,Algebra 1,81.270000457763672,Geometry (2 hr),65.42500114440918,English 1,77.715000152587891,English 2,72.875,World Affairs,80.575000762939453,Biology 1,66.444997787475586,Physics 1,73.485000610351563,,
2240046,Algebra 1,81.270000457763672,Geometry 2HR CR Grading,65,English 1,77.715000152587891,English 2,72.875,World Affairs,80.575000762939453,Biology 1,66.444997787475586,Physics 1,73.485000610351563,,
2240048,Algebra 1,64.729999542236328,Geometry (2 hr),63.579998016357422,English 1,42.817499876022339,English 2,83.115001678466797,World Affairs,52.205000877380371,Biology 1,69.625,Physics 1,71.369998931884766,Chemistry 1,60.469999313354492
2240048,Algebra 1,64.729999542236328,Geometry (2 hr),63.579998016357422,English 1,42.817499876022339,English 2,83.115001678466797,World Affairs,52.205000877380371,Biology 1 Hon,22.469999313354492,Physics 1,71.369998931884766,Chemistry 1,60.469999313354492
2240049,Algebra 1,37.170000553131104,,,English 1,75.020000457763672,English 2,81.869998931884766,World Affairs,86.895000457763672,Biology 1,80.854999542236328,,,,
2240050,Algebra 1,92.354999542236328,Geometry,90.194999694824219,English 1 Hon,94.924999237060547,English 2 Hon,91.424999237060547,AP Human Geography,87.795001983642578,Biology 1,95.504997253417969,Physics 1,94.360000610351563,Chemistry 1,79.895000457763672
2240051,Algebra 1,66.095001220703125,Geometry,85.994998931884766,English 1,33.529999971389771,English 2 Hon,80.740001678466797,AP Human Geography,61.585000991821289,Biology 1,79.286666870117188,Physics 1,84.229999542236328,Chemistry 1,45.360001564025879
2240051,Algebra 1,66.095001220703125,Geometry,85.994998931884766,English 1 Hon,66.830001831054688,English 2 Hon,80.740001678466797,AP Human Geography,61.585000991821289,Biology 1,79.286666870117188,Physics 1,84.229999542236328,Chemistry 1,45.360001564025879
2240052,Algebra 1,72.494998931884766,Geometry (2 hr),45.540000915527344,English 1,2.1850000023841858,English 1,5.4099998474121094,World Affairs,62.770000457763672,Biology 1,36.439999580383301,,,,
2240055,Algebra 1,60.909999847412109,Geometry,50,English 1,64.679998397827148,English 2,62.909999847412109,World Affairs,66.494998931884766,Biology 1,70,Physics 1,56.759998321533203,,
2240055,Algebra 1,60.909999847412109,Geometry (2 hr),70.400001525878906,English 1,64.679998397827148,English 2,62.909999847412109,World Affairs,66.494998931884766,Biology 1,70,Physics 1,56.759998321533203,,
2240056,Algebra 1,93.745002746582031,Geometry,97.685001373291016,English 1 Hon,92.55999755859375,English 2 Hon,99.325000762939453,AP Human Geography,99.505001068115234,Biology 1 Hon,97.729999542236328,Physics 1 Hon,91.420001983642578,Chemistry 1 Hon,98.215000152587891
2240058,Algebra 1,61.314998626708984,Geometry,59.075000762939453,English 1 Hon,63.060000101725258,English 2,83.149997711181641,AP Human Geography,60.203334808349609,Biology 1 Hon,81.025001525878906,Physics 1 Hon,59.135000228881836,Chemistry 1,76.364997863769531
2240060,Algebra 1,49.570001602172852,,,English 1,55.840000152587891,English 2,72.770000457763672,World Affairs,67.409999847412109,Biology 1,67.255001068115234,,,,
2240061,Algebra 1,72.569997787475586,Geometry,61.334999084472656,English 1,65.825000762939453,English 2,70.125,World Affairs,69.104999542236328,Biology 1,68.869998931884766,Physics 1,68.254999160766602,Chemistry 1,3.9700000286102295
2240062,Algebra 1,93.619998931884766,Geometry,97.569999694824219,English 1 Hon,93.860000610351563,English 2 Hon,92.814998626708984,AP Human Geography,93.049999237060547,Biology 1 Hon,96.979999542236328,Physics 1 Hon,81.985000610351563,Chemistry 1,87.290000915527344
2240063,Algebra 1,6.869999885559082,,,English 1,87.805000305175781,English 2,81.910003662109375,World Affairs,67.424999237060547,Biology 1,31.369999885559082,,,,
2240064,Algebra 1,26.65000057220459,,,English 1,5.5049999952316284,English 1,65,World Affairs,51.665000915527344,Biology 1,3.9550000429153442,,,,
2240069,Algebra 1,87.729999542236328,Geometry,91.324996948242188,English 1 Hon,91.93499755859375,English 2 Hon,96.930000305175781,AP Human Geography,79.869998931884766,Biology 1 Hon,94.444999694824219,Physics 1 Hon,81.889999389648438,,
2240074,Algebra 1,45.350000381469727,,,English 1 Hon,34.455000400543213,English 1,65,AP Human Geography,53.889999389648438,Biology 1 Hon,60,,,,
2240074,Algebra 1,45.350000381469727,,,English 1 Hon,34.455000400543213,English 2,75,AP Human Geography,53.889999389648438,Biology 1 Hon,60,,,,
2240075,Algebra 1,71.220001220703125,Geometry,66.519996643066406,English 1,76.715000152587891,English 2,81.69000244140625,World Affairs,87.729999542236328,Biology 1,88.544998168945313,Physics 1,60.439998626708984,,
2240076,Algebra 1,73.604999542236328,Geometry (2 hr),66.724998474121094,English 1,80.075000762939453,English 2,88.040000915527344,World Affairs,74.25,Biology 1,73.239997863769531,Physics 1,62.799999237060547,Chemistry 1,47.919998168945313
2240077,Algebra 1,57.51500129699707,,,English 1,46.374999284744263,English 1,65,World Affairs,52.940000534057617,Biology 1,41.735001087188721,,,,
2240079,Algebra 1,53.684999465942383,Geometry,69.365001678466797,English 1,47.275001525878906,English 2,57.159999847412109,World Affairs,62.165000915527344,Biology 1,61.385000228881836,,,,
2240080,Algebra 1,70.620002746582031,Geometry,94.055000305175781,English 1 Hon,92.139999389648438,English 2 Hon,93.825000762939453,AP Human Geography,68.550003051757813,Biology 1 Hon,75,,,,
2240080,Algebra 1,70.620002746582031,Geometry,94.055000305175781,English 1 Hon,92.139999389648438,English 2 Hon,93.825000762939453,World Affairs,82.680000305175781,Biology 1 Hon,75,,,,
2240081,Algebra 1,61.42500114440918,Geometry,44.415000915527344,English 1,12.359999656677246,English 1,65,World Affairs,56.674999237060547,Biology 1,65.19999885559082,,,,
2240082,Algebra 1,66.355001449584961,Geometry (2 hr),15.344999923370779,English 1,7.4250001311302185,English 1,65,World Affairs,22.814999580383301,Biology 1,19.359999656677246,,,,
2240087,Algebra 1,79.775001525878906,Geometry (2 hr),89.970001220703125,English 1,78.81500244140625,English 2,88.299999237060547,World Affairs,90.319999694824219,Biology 1,90.799999237060547,Physics 1,73.764999389648438,Chemistry 1,75.209999084472656
2240089,Algebra 1,75.970001220703125,Geometry,70.245000839233398,English 1,88.879997253417969,English 2,92.885002136230469,World Affairs,82.984996795654297,Biology 1,80.659999847412109,Physics 1,71.965000152587891,Chemistry 1,68.180000305175781
2240091,Algebra 1,56.639999389648438,Geometry (2 hr),68.419998168945313,English 1,79.830001831054688,English 2,64.530000686645508,World Affairs,68.30999755859375,Biology 1,73.584999084472656,Physics 1,61.67500114440918,,
2240093,Algebra 1,11.199999779462814,,,English 1,31.010000228881836,English 1,65,World Affairs,30.480000436306,Biology 1,31.170001029968262,,,,
2240093,Algebra 1,11.199999779462814,,,English 1,31.010000228881836,English 2,85,World Affairs,30.480000436306,Biology 1,31.170001029968262,,,,
2240095,Algebra 1,58.340000152587891,,,English 1,80.409999847412109,,,World Affairs,74.005001068115234,Biology 1 Hon,70,,,,
2240096,Algebra 1,65.130001068115234,Geometry,70.549999237060547,English 1 Hon,79.935001373291016,English 2 Hon,94.55999755859375,AP Human Geography,74.059999465942383,Biology 1 Hon,85,Physics 1 Hon,68.150001525878906,Chemistry 1 Hon,63.460000991821289
2240098,Algebra 1,73.639999389648438,Geometry (2 hr),51.589998245239258,English 1,79.275001525878906,English 2,77.625,World Affairs,72.620002746582031,Biology 1,77.944999694824219,Physics 1,44.990001678466797,,
2240099,Algebra 1,83.25,Geometry,90.055000305175781,English 1,65.044998168945313,English 2,86.479999542236328,World Affairs,68.029998779296875,Biology 1,79.470001220703125,Physics 1,82.630001068115234,,
2240100,Algebra 1,64.635000228881836,Geometry (2 hr),71.889999389648438,English 1,78.614997863769531,English 2,76.229999542236328,World Affairs,69.069999694824219,Biology 1,87.764999389648438,Physics 1,76.889999389648438,,
2240102,Algebra 1,44.493332862854004,Geometry (2 hr),43.01500129699707,English 1,82.505001068115234,English 2,53.80000114440918,World Affairs,67.435001373291016,Biology 1,65.280000686645508,Physics 1,76.620002746582031,,
2240104,Algebra 1,55.114999771118164,,,English 1,8.4600000381469727,English 1,65,World Affairs,67.415000915527344,Biology 1,64.340000152587891,,,,
2240105,Algebra 1,80,,,English 1,75,English 10,75,,,Biology,80,,,,
2240107,Algebra 1,35.759999752044678,Geometry,34.659999847412109,English 1,62.655000686645508,English 2,72.389999389648438,World Affairs,54.236667633056641,Biology 1,61.010000228881836,Physics 1,46.276666641235352,,
2240107,Algebra 1,35.759999752044678,Geometry (2 hr),59.860000610351563,English 1,62.655000686645508,English 2,72.389999389648438,World Affairs,54.236667633056641,Biology 1,61.010000228881836,Physics 1,46.276666641235352,,
2240107,Algebra 1,35.759999752044678,Geometry CR Grading,50,English 1,62.655000686645508,English 2,72.389999389648438,World Affairs,54.236667633056641,Biology 1,61.010000228881836,Physics 1,46.276666641235352,,
2240109,Algebra 1,69.204998016357422,Geometry,75.129997253417969,English 1 Hon,72.345001220703125,English 2 Hon,94.464996337890625,AP Human Geography,71.650001525878906,Biology 1 Hon,70,Physics 1 Hon,76.654998779296875,Chemistry 1,73.334999084472656
2240109,Algebra 1,69.204998016357422,Geometry (2 hr),92.819999694824219,English 1 Hon,72.345001220703125,English 2 Hon,94.464996337890625,AP Human Geography,71.650001525878906,Biology 1 Hon,70,Physics 1 Hon,76.654998779296875,Chemistry 1,73.334999084472656
2240110,Algebra 1,1.0999999940395355,,,English 1,8.0000000074505806E-2,,,World Affairs,2.9999999329447746E-2,Biology 1,8.4150003436952829,,,,
2240113,Algebra 1,8.7149997353553772,,,English 1,5.0450000762939453,,,World Affairs,34.894999504089355,Biology 1,11.914999961853027,,,,
2240114,Algebra 1,69.179998397827148,Geometry (2 hr),60.060001373291016,English 1,74.394998550415039,English 2,78.665000915527344,World Affairs,72.854999542236328,Biology 1,80.084999084472656,Physics 1,51.680000305175781,,
2240115,Algebra 1,60.875,Geometry (2 hr),50.240001678466797,English 1,48.94999885559082,English 2,38.694999694824219,World Affairs,71.680000305175781,Biology 1,58.985000610351563,Physics 1,48.364999771118164,Chemistry 1,29.325000762939453
2240116,Algebra 1,76.259998321533203,Geometry (2 hr),72.739997863769531,English 1,81.794998168945313,English 2,78.900001525878906,World Affairs,68.484996795654297,Biology 1,74.745002746582031,Physics 1,69.704998016357422,,
